Base_HR,Base_EDA,HR,EDA,Neutral,Happy,Sad,Angry,Surprised,Scared,Disgusted,EDA_difference,HR_difference,Trust_level
81.3,2.45,75.02,2.1,0.7358728,0.01919819,0.3709169,0.04257018,0.01839384,0.009191258,0.01436715,-0.35,-6.28,Gradual_trust
81.3,2.45,75.28,2.11,0.7570602,0.02298251,0.3358381,0.04254147,0.01803464,0.01277335,0.01394941,-0.34,-6.02,Gradual_trust
81.3,2.45,75.55,2.13,0.7790669,0.02558228,0.3005829,0.04581383,0.01774523,0.01668956,0.0143306,-0.32,-5.75,Gradual_trust
81.3,2.45,75.92,2.11,0.8010736,0.02818205,0.2653278,0.04908618,0.01745583,0.02060578,0.01471179,-0.34,-5.38,Gradual_trust
81.3,2.45,76.33,2.07,0.8184811,0.0304949,0.2366324,0.0516606,0.01726735,0.02354148,0.01529857,-0.38,-4.97,Gradual_trust
81.3,2.45,76.73,2.07,0.8422899,0.03180509,0.1929978,0.05451445,0.01693905,0.02624082,0.01636283,-0.38,-4.57,Gradual_trust
81.3,2.45,77.13,2.11,0.8456768,0.03075006,0.1719509,0.05394342,0.01641061,0.02568053,0.01675882,-0.34,-4.17,Gradual_trust
81.3,2.45,77.53,2.11,0.8468488,0.02947867,0.1557936,0.05200288,0.01601043,0.02440171,0.01687817,-0.34,-3.77,Gradual_trust
81.3,2.45,77.87,2.22,0.8484464,0.0282823,0.1409205,0.04973106,0.01547994,0.02315836,0.01695276,-0.23,-3.43,Gradual_trust
81.3,2.45,78.18,2.23,0.8509044,0.02948819,0.129846,0.04770024,0.01522226,0.0223985,0.01737742,-0.22,-3.12,Gradual_trust
81.3,2.45,78.52,2.16,0.8533624,0.03069407,0.1187714,0.04566943,0.01496459,0.02163863,0.01780207,-0.29,-2.78,Gradual_trust
81.3,2.45,78.75,2.14,0.8593686,0.03094893,0.09885788,0.04170416,0.01429398,0.02137594,0.01920242,-0.31,-2.55,Gradual_trust
81.3,2.45,79,2.12,0.8627042,0.03041987,0.08993248,0.04295126,0.01411924,0.0211413,0.01970384,-0.33,-2.3,Gradual_trust
81.3,2.45,79.25,2.09,0.8660399,0.02989082,0.08100706,0.04419836,0.0139445,0.02090666,0.02020527,-0.36,-2.05,Gradual_trust
81.3,2.45,79.5,2.06,0.8683389,0.02938274,0.07758077,0.04293553,0.01353849,0.02021047,0.02035896,-0.39,-1.8,Gradual_trust
81.3,2.45,79.75,2.12,0.8706378,0.02887467,0.07415449,0.04167271,0.01313247,0.01951428,0.02051265,-0.33,-1.55,Gradual_trust
81.3,2.45,80.03,2.09,0.8737116,0.02823736,0.0708041,0.03938049,0.01289844,0.01828518,0.02037204,-0.36,-1.27,Gradual_trust
81.3,2.45,80.32,2.09,0.8769482,0.02820072,0.06853659,0.03579305,0.01337329,0.01659988,0.01965362,-0.36,-0.98,Gradual_trust
81.3,2.45,80.63,2.09,0.8814875,0.02797299,0.06657274,0.03286484,0.01367684,0.01514005,0.01902255,-0.36,-0.67,Gradual_trust
81.3,2.45,80.88,2.08,0.8868052,0.0276849,0.06573188,0.02986368,0.01374967,0.01357938,0.0185741,-0.37,-0.42,Gradual_trust
81.3,2.45,81.17,2.07,0.8921704,0.02736587,0.06516618,0.02711044,0.01384394,0.01211729,0.01831575,-0.38,-0.13,Gradual_trust
81.3,2.45,81.45,2.06,0.8972026,0.02695231,0.06541708,0.02458324,0.01425691,0.01078002,0.01811919,-0.39,0.15,Gradual_trust
81.3,2.45,81.72,2.06,0.9023017,0.02635021,0.06709994,0.02206206,0.01466118,0.009489361,0.01801579,-0.39,0.42,Gradual_trust
81.3,2.45,81.97,1.93,0.9083433,0.02560481,0.07186467,0.01819256,0.01556804,0.007718562,0.01861373,-0.52,0.67,Gradual_trust
81.3,2.45,82.23,2.1,0.9113836,0.0248829,0.07450004,0.01640389,0.01635714,0.006987436,0.01887118,-0.35,0.93,Gradual_trust
81.3,2.45,82.5,2.31,0.9139443,0.02395286,0.07647972,0.01490452,0.01736633,0.006460839,0.01893021,-0.14,1.2,Gradual_trust
81.3,2.45,82.82,2.52,0.916284,0.02294865,0.0783428,0.01358915,0.01828082,0.006072273,0.0189305,0.07,1.52,Gradual_trust
81.3,2.45,82.53,2.51,0.917049,0.02242388,0.07932177,0.01299415,0.01869133,0.005914396,0.0189323,0.06,1.23,Gradual_trust
81.3,2.45,82.25,2.54,0.9194807,0.02073379,0.08164251,0.01154747,0.01926647,0.005511967,0.01903597,0.09,0.95,Gradual_trust
81.3,2.45,82,2.65,0.9211881,0.01926955,0.08351094,0.01052699,0.01943305,0.005282174,0.01918837,0.2,0.7,Gradual_trust
81.3,2.45,81.77,3.45,0.9216625,0.01821308,0.08545155,0.009910575,0.01901677,0.005076044,0.01912638,1,0.47,Gradual_trust
81.3,2.45,81.48,4.07,0.9206709,0.01721502,0.08916119,0.009439618,0.0184519,0.004891599,0.01894161,1.62,0.18,Gradual_trust
81.3,2.45,81.2,3.88,0.9192394,0.01632572,0.09274595,0.009006839,0.01796603,0.004744735,0.01878824,1.43,-0.1,Gradual_trust
81.3,2.45,80.97,3.36,0.9155873,0.01548426,0.09914778,0.00874686,0.01795508,0.004674476,0.01902591,0.91,-0.33,Gradual_trust
81.3,2.45,80.73,3.52,0.9078656,0.01465504,0.109413,0.008383019,0.01764081,0.004637973,0.018995,1.07,-0.57,Gradual_trust
81.3,2.45,80.55,3.42,0.897647,0.01378733,0.1198987,0.008136516,0.01798662,0.004616882,0.01973574,0.97,-0.75,Gradual_trust
81.3,2.45,80.35,3.42,0.8847486,0.01313129,0.1326895,0.008082386,0.01864346,0.004625056,0.02071447,0.97,-0.95,Gradual_trust
81.3,2.45,80.17,3.21,0.8791658,0.01283276,0.1381376,0.008095151,0.0189713,0.00462954,0.02114149,0.76,-1.13,Gradual_trust
